Zone,weekday,hour,rides,avg_trip_miles,avg_fare,avg_driver_pay
Kips Bay,Friday,23,1366,4.434328696925329,24.07554904831625,19.272540263543192
Kips Bay,Monday,0,314,4.895480891719745,22.169458598726116,17.650414012738853
Kips Bay,Monday,1,153,5.08597385620915,22.426601307189543,17.584967320261438
Kips Bay,Monday,2,150,4.73906,20.902466666666665,16.357266666666668
Kips Bay,Monday,3,129,6.29568992248062,25.95434108527132,19.693178294573645
Kips Bay,Monday,4,122,7.3336147540983605,37.1272131147541,23.70360655737705
Kips Bay,Monday,5,178,7.569544943820224,35.78269662921348,24.331853932584266
Kips Bay,Monday,6,323,5.392167182662539,27.951114551083588,20.13609907120743
Kips Bay,Monday,7,616,5.130464285714286,26.433506493506496,20.42775974025974
Kips Bay,Monday,8,599,4.250026711185309,24.01627712854758,19.057579298831385
Kips Bay,Monday,9,449,4.444175946547884,23.94269487750557,18.32216035634744
Kips Bay,Monday,10,401,5.326985037406484,27.03266832917706,20.048104738154613
Kips Bay,Monday,11,453,5.19923178807947,26.509845474613684,19.79690949227373
Kips Bay,Monday,12,439,5.47503416856492,27.33111617312073,20.54728929384966
Kips Bay,Monday,13,456,5.656807017543859,28.12666666666667,21.459232456140352
Kips Bay,Monday,14,500,5.6619399999999995,31.19818,22.92096
Kips Bay,Monday,15,563,5.954126110124334,31.161989342806397,24.38740674955595
Kips Bay,Monday,16,644,5.445428571428572,30.03448757763975,22.837919254658388
Kips Bay,Monday,17,557,4.863043087971275,26.645888689407542,20.763123877917415
Kips Bay,Monday,18,613,4.412548123980424,24.312169657422512,18.227797716150082
Kips Bay,Monday,19,662,4.743223564954683,22.05797583081571,17.34835347432024
Kips Bay,Monday,20,520,5.188869230769231,23.52701923076923,18.48019230769231
Kips Bay,Monday,21,447,4.785742729306487,21.876085011185683,17.385346756152124
Kips Bay,Monday,22,429,5.023104895104894,20.931655011655014,16.842727272727274
Kips Bay,Monday,23,446,5.892560538116592,21.84760089686099,18.430762331838565
Kips Bay,Saturday,0,1076,4.657775092936802,23.386217472118958,18.713959107806694
Kips Bay,Saturday,1,820,4.881192682926829,23.351256097560974,18.252768292682926
Kips Bay,Saturday,2,596,5.0967365771812085,23.453406040268455,18.48246644295302
Kips Bay,Saturday,3,434,5.819398617511521,25.388548387096773,19.373617511520738
Kips Bay,Saturday,4,331,7.324344410876133,29.38939577039275,22.112447129909366
Kips Bay,Saturday,5,337,7.8783353115727,32.47952522255193,23.952166172106825
Kips Bay,Saturday,6,437,6.178018306636155,25.10608695652174,19.460228832951948
Kips Bay,Saturday,7,788,6.314649746192894,24.23472081218274,19.3221192893401
Kips Bay,Saturday,8,577,5.432441941074523,23.192894280762562,18.160415944540727
Kips Bay,Saturday,9,656,4.5542743902439025,22.343064024390245,16.901615853658534
Kips Bay,Saturday,10,714,3.634956582633053,20.127703081232493,15.17483193277311
Kips Bay,Saturday,11,844,3.719691943127962,20.86723933649289,15.763281990521326
